offer_id,deal_id,business_name,lender_name,amount,term_months,rate_factor,product_type,expiry_days,status,notes,created_at
cmndrlskr03nrzorjwfszl6aq,cmndrjnfy03njzorjct918c03,Knight & Fitzgerald LLC,Newtek,500000,,,SBA,,undefined,,2026-03-30T22:33:50.572Z
cmndjldwe0001zo9mirq3bwib,cmndg1jra00sfzoi24b745jxu,Lifecare Med Center LLC,Figure,120000,,,HELOC,,undefined,,2026-03-30T18:49:34.623Z
cmndiudol001ozojsdp5nwg5l,cmnditf7j001kzojsfeo2ew76,ALLY SENIOR HEALTH TNSURANCE ASSOTIATES LLC,Newtek,500000,,,SBA,,undefined,,2026-03-30T18:28:34.630Z
cmndidd9m000uzojsmjz0svo1,cmndibo0f000ozojsdb644z0m,MTM Evolution LLC,Figure,241619.52,,,HELOC,,undefined,,2026-03-30T18:15:20.938Z
cmndiaigf000jzojsi813yca2,cmndi9m3g000dzojs1z0u4ioo,Ski Dazzle LLC,Figure ,237570.41,,,HELOC,,undefined,,2026-03-30T18:13:07.695Z
cmndi8p9y0008zojsy1hsqhj8,cmndi7z7g0002zojszyjoqvfi,AD buys houses ,Figure ,125000,,,HELOC,,undefined,,2026-03-30T18:11:43.223Z
cmndi369c000uzot5nviiw00k,cmndhtuq40007zot5zo5ey9mb,ELANSIS LOGISTICS INC,Capitalize,60000,,,MCA,,undefined,,2026-03-30T18:07:25.297Z
cmndhw84s000dzot5br1m3c6w,cmndht89e0002zot5x8yuonrz,FJ interior and desing LLC,BYZFunder,72500,,,MCA,,undefined,,2026-03-30T18:02:01.133Z
cmndgsjti06g7zoi28u3xg30f,cmndgqp7i03npzoi2gahz8xo2,Luminous Nails Spa ,PIRS,100000,,,MCA,,undefined,,2026-03-30T17:31:10.038Z
cmndgrrx206g3zoi25uvzzx5q,cmndgqp7i03npzoi2gahz8xo2,Luminous Nails Spa ,PIRS,171500,,,MCA,,undefined,,2026-03-30T17:30:33.878Z
cmndexxlq000czoi2td9hzdpn,cmndetxcb0002zoi26keirfhx,NEYMAR FARMS II LLC,IOU,500000,,,MCA,,undefined,,2026-03-30T16:39:21.950Z
cmndef1nj000jzolemdftizny,cmndeecoc000dzolehm8u684h,Nails Optic Salon and Spa,Samson,70000,,,MCA,,undefined,,2026-03-30T16:24:40.735Z
cmndeak490008zoleaq5s1it1,cmnde9u0i0002zolept5aa2c9,Team Biondi LLC,Barclays,20000,,,MCA,,undefined,,2026-03-30T16:21:11.385Z
cmnddft9m001bzoo86whin7c9,cmnddd8gd0015zoo8p25qf15s,Flyingfur inc,TSM,60000,,,MCA,,undefined,,2026-03-30T15:57:16.906Z
cmndc2g0s000jzoo8q9enx8ah,cmndc234l000dzoo8n5z4t2ck,Sweet Appetite Llc,DLP,26000,,,MCA,,undefined,,2026-03-30T15:18:53.597Z
cmnceno3a004yzo9xe3dj5keo,cmncem7dr004qzo9xht93u0ex,Automotive Lift Service,Blade,300000,,,MCA,,undefined,,2026-03-29T23:43:36.886Z
cmncektei004lzo9xa96mx8zg,cmncejugn004fzo9xiyc3e9js,Master Chef,Figure,200000,,,HELOC,,undefined,,2026-03-29T23:41:23.803Z
cmnceigj3004azo9xna6l9mrx,cmncei1po0044zo9xo693f6lx,African Caribbean Food Market,Lendini,56000,,,MCA,,undefined,,2026-03-29T23:39:33.807Z
cmnccsfe5003hzo9x11kasge5,cmnao27ah002hzo92mszpaqkv,Titan Ventures,Accelerant,200000,,,MCA,,undefined,,2026-03-29T22:51:19.661Z
cmnc9vygl0005zon0dtyen8yr,cmnao278f001czo92b3l06j4k,Arguello Group,Newtek,250000,,,MCA,,undefined,,2026-03-29T21:30:05.493Z
